Niveau;Matiere;Notion;Type_jeu;Fichier_html;Statut
3e, 4e, 5e, 6e;Allemand;La negation dans la phrase (nicht / kein);lacunes;allemand/negation-nicht-kein.html;fait
3e, 4e, 5e, 6e;Allemand;La phrase a la voix passive;lacunes;allemand/la-phrase-a-la-voix-passive.html;à faire
3e, 4e, 5e, 6e;Allemand;La phrase interrogative;construction;allemand/la-phrase-interrogative.html;à faire
3e, 4e, 5e, 6e;Allemand;La phrase subordonnee;lacunes;allemand/la-phrase-subordonnee.html;à faire
3e, 4e, 5e, 6e;Allemand;La phrase subordonnee relative;lacunes;allemand/la-phrase-subordonnee-relative.html;à faire
3e, 4e, 5e, 6e;Allemand;La ponctuation;quiz;allemand/la-ponctuation.html;à faire
3e, 4e, 5e, 6e;Allemand;La proposition infinitive;lacunes;allemand/la-proposition-infinitive.html;à faire
3e, 4e, 5e, 6e;Allemand;La syntaxe de la phrase declarative;puzzle;allemand/la-syntaxe-de-la-phrase-declarative.html;à faire
3e, 4e, 5e, 6e;Allemand;L'adjectif attribut;lacunes;allemand/l-adjectif-attribut.html;à faire
3e, 4e, 5e, 6e;Allemand;L'adjectif epithete et ses declinaisons;quiz;allemand/l-adjectif-epithete-et-ses-declinaisons.html;à faire
3e, 4e, 5e, 6e;Allemand;L'adjectif possessif;lacunes;allemand/l-adjectif-possessif.html;à faire
3e, 4e, 5e, 6e;Allemand;Le comparatif;lacunes;allemand/le-comparatif.html;à faire
3e, 4e, 5e, 6e;Allemand;Le genitif saxon;quiz;allemand/le-genitif-saxon.html;à faire
3e, 4e, 5e, 6e;Allemand;Le pluriel des noms;quiz;allemand/le-pluriel-des-noms.html;à faire
3e, 4e, 5e, 6e;Allemand;Le superlatif;lacunes;allemand/le-superlatif.html;à faire
3e, 4e, 5e, 6e;Allemand;Les determinants definis et indefinis sujets;lacunes;allemand/les-determinants-definis-et-indefinis-sujets.html;à faire
3e, 4e, 5e, 6e;Allemand;Les determinants et leurs declinaisons;quiz;allemand/les-determinants-et-leurs-declinaisons.html;à faire
3e, 4e, 5e, 6e;Allemand;Les pronoms demonstratifs;lacunes;allemand/les-pronoms-demonstratifs.html;à faire
3e, 4e, 5e, 6e;Allemand;Les pronoms personnels;lacunes;allemand/les-pronoms-personnels.html;à faire
3e, 4e, 5e, 6e;Allemand;Les auxiliaires;lacunes;allemand/les-auxiliaires.html;à faire
3e, 4e, 5e, 6e;Allemand;Les verbes a preverbe separable;lacunes;allemand/les-verbes-a-preverbe-separable.html;à faire
3e, 4e, 5e, 6e;Allemand;Les verbes de modalite;lacunes;allemand/les-verbes-de-modalite.html;à faire
3e, 4e, 5e, 6e;Allemand;Les verbes faibles et les verbes forts;tri;allemand/les-verbes-faibles-et-les-verbes-forts.html;à faire
3e, 4e, 5e, 6e;Allemand;Les verbes pronominaux;lacunes;allemand/les-verbes-pronominaux.html;à faire
3e, 4e, 5e, 6e;Allemand;Les complements de lieu (locatif / directionnel);lacunes;allemand/les-complements-de-lieu-locatif-directionnel.html;à faire
3e, 4e, 5e, 6e;Allemand;Les complements de temps;lacunes;allemand/les-complements-de-temps.html;à faire
3e, 4e, 5e, 6e;Allemand;Les conjonctions de coordination;lacunes;allemand/les-conjonctions-de-coordination.html;à faire
3e, 4e, 5e, 6e;Allemand;Les prepositions mixtes;lacunes;allemand/les-prepositions-mixtes.html;à faire
3e, 4e, 5e, 6e;Allemand;Les prepositions suivies de l'accusatif;quiz;allemand/les-prepositions-suivies-de-l-accusatif.html;à faire
3e, 4e, 5e, 6e;Allemand;Les prepositions suivies du datif;quiz;allemand/les-prepositions-suivies-du-datif.html;à faire
3e, 4e, 5e, 6e;Allemand;L'imperatif;conjugaison;allemand/l-imperatif.html;à faire
3e, 4e, 5e, 6e;Allemand;L'indicatif present;conjugaison;allemand/l-indicatif-present.html;à faire
3e, 4e, 5e, 6e;Allemand;Le futur;conjugaison;allemand/le-futur.html;à faire
3e, 4e, 5e, 6e;Allemand;Le parfait;conjugaison;allemand/le-parfait.html;à faire
3e, 4e, 5e, 6e;Allemand;Le preterit;conjugaison;allemand/le-preterit.html;à faire
3e, 4e, 5e, 6e;Allemand;Le subjonctif II present;conjugaison;allemand/le-subjonctif-ii-present.html;à faire
3e, 4e, 5e, 6e;Allemand;Donner son avis, exprimer le souhait, la cause, l'opinion, l'hypothese, le but, la concession;construction;allemand/donner-son-avis-exprimer-le-souhait-la-cause-l-opinion-l-hypothese-le-but-la-concession.html;à faire
3e, 4e, 5e, 6e;Allemand;L'ecole;memory;allemand/l-ecole.html;à faire
3e, 4e, 5e, 6e;Allemand;La description physique;association;allemand/la-description-physique.html;à faire
3e, 4e, 5e, 6e;Allemand;La famille et la maison;memory;allemand/la-famille-et-la-maison.html;à faire
3e, 4e, 5e, 6e;Allemand;La nourriture;memory;allemand/la-nourriture.html;à faire
3e, 4e, 5e, 6e;Allemand;Les chiffres;quiz;allemand/les-chiffres.html;à faire
3e, 4e, 5e, 6e;Allemand;Les couleurs;association;allemand/les-couleurs.html;à faire
3e, 4e, 5e, 6e;Allemand;Les metiers;memory;allemand/les-metiers.html;à faire
3e, 4e, 5e, 6e;Allemand;Les transports;memory;allemand/les-transports.html;à faire
3e, 4e, 5e, 6e;Allemand;Les vetements;memory;allemand/les-vetements.html;à faire
3e, 4e, 5e, 6e;Allemand;Meteo, saisons, mois;memory;allemand/meteo-saisons-mois.html;à faire
